nr_hidden_layers,hidden_layer_size,learning_rate,batch_size,activation_function,mse
1,180,0.1,full,ReLU(),759.0348016357422
1,180,0.1,full,Tanh(),23.84552785873413
1,180,0.1,full,Sigmoid(),18.64542088985443
1,190,0.001,full,ReLU(),479656.4086779785
1,190,0.001,full,Tanh(),481.0734356689453
1,190,0.001,full,Sigmoid(),610.2999774169922
1,190,0.01,full,ReLU(),2198836.699906616
1,190,0.01,full,Tanh(),35.20451198577881
1,190,0.01,full,Sigmoid(),21.13126606941223
1,190,0.1,full,ReLU(),761.9792126464844
1,190,0.1,full,Tanh(),29.47555112838745
1,190,0.1,full,Sigmoid(),16.331547298431396
1,200,0.001,full,ReLU(),351459.6029309082
1,200,0.001,full,Tanh(),466.94169982910154
1,200,0.001,full,Sigmoid(),602.3960467529297
1,200,0.01,full,ReLU(),2506313.045703125
1,200,0.01,full,Tanh(),33.97341611862183
1,200,0.01,full,Sigmoid(),17.318428354263304
1,200,0.1,full,ReLU(),761.2963006591797
1,200,0.1,full,Tanh(),29.40623233795166
1,200,0.1,full,Sigmoid(),15.03899549484253
2,10,0.001,full,ReLU(),2426233.192817993
2,10,0.001,full,Tanh(),740.607036743164
2,10,0.001,full,Sigmoid(),751.4661889648437
2,10,0.01,full,ReLU(),120779.1498160553
2,10,0.01,full,Tanh(),594.3438275146484
2,10,0.01,full,Sigmoid(),667.9603161621094
2,10,0.1,full,ReLU(),759.377230834961
2,10,0.1,full,Tanh(),12.324310092926025
2,10,0.1,full,Sigmoid(),144.2637194633484
2,20,0.001,full,ReLU(),1823921.8822766114
2,20,0.001,full,Tanh(),726.48107421875
2,20,0.001,full,Sigmoid(),736.6800982666016
2,20,0.01,full,ReLU(),219755.25657165528
2,20,0.01,full,Tanh(),461.8436547851563
2,20,0.01,full,Sigmoid(),594.5525094604492
2,20,0.1,full,ReLU(),757.7084515380859
2,20,0.1,full,Tanh(),31.489167747497557
2,20,0.1,full,Sigmoid(),25.633341360092164
2,30,0.001,full,ReLU(),382422.75017944333
2,30,0.001,full,Tanh(),708.5832220458984
2,30,0.001,full,Sigmoid(),735.564955444336
2,30,0.01,full,ReLU(),297809.8630438232
2,30,0.01,full,Tanh(),352.7688848876953
2,30,0.01,full,Sigmoid(),523.7058422851562
2,30,0.1,full,ReLU(),763.1447186279297
2,30,0.1,full,Tanh(),13.548586850166322
2,30,0.1,full,Sigmoid(),28.180350584983827
2,40,0.001,full,ReLU(),414739.14659057616
2,40,0.001,full,Tanh(),690.971240234375
2,40,0.001,full,Sigmoid(),729.442017211914
2,40,0.01,full,ReLU(),390514.0550576782
2,40,0.01,full,Tanh(),256.06919204711915
2,40,0.01,full,Sigmoid(),470.0423394775391
2,40,0.1,full,ReLU(),761.0739758300781
2,40,0.1,full,Tanh(),30.57315029144287
2,40,0.1,full,Sigmoid(),29.708578147888183
2,50,0.001,full,ReLU(),373249.31170715333
2,50,0.001,full,Tanh(),675.0687194824219
2,50,0.001,full,Sigmoid(),719.555166015625
2,50,0.01,full,ReLU(),412478.5391265869
2,50,0.01,full,Tanh(),181.73228881835936
2,50,0.01,full,Sigmoid(),404.96948303222655
2,50,0.1,full,ReLU(),763.0299273681641
2,50,0.1,full,Tanh(),18.5829109954834
2,50,0.1,full,Sigmoid(),17.953915257453918
2,60,0.001,full,ReLU(),442987.8161236572
2,60,0.001,full,Tanh(),661.7183557128906
2,60,0.001,full,Sigmoid(),707.7632421875
2,60,0.01,full,ReLU(),554623.6991333008
2,60,0.01,full,Tanh(),122.54796165466308
2,60,0.01,full,Sigmoid(),345.7877276611328
2,60,0.1,full,ReLU(),757.5717248535157
2,60,0.1,full,Tanh(),13.350736045837403
2,60,0.1,full,Sigmoid(),16.989090147018434
2,70,0.001,full,ReLU(),511516.7129156494
2,70,0.001,full,Tanh(),645.9464831542969
2,70,0.001,full,Sigmoid(),701.0244030761719
2,70,0.01,full,ReLU(),456898.28987304686
2,70,0.01,full,Tanh(),76.90480735778809
2,70,0.01,full,Sigmoid(),306.41219604492187
2,70,0.1,full,ReLU(),766.376884765625
2,70,0.1,full,Tanh(),25.606498222351075
2,70,0.1,full,Sigmoid(),23.154473476409912
2,80,0.001,full,ReLU(),351758.7378375244
2,80,0.001,full,Tanh(),629.595947265625
2,80,0.001,full,Sigmoid(),695.2598480224609
2,80,0.01,full,ReLU(),761947.7371624756
2,80,0.01,full,Tanh(),47.24615879058838
2,80,0.01,full,Sigmoid(),258.1753532409668
2,80,0.1,full,ReLU(),761.3760192871093
2,80,0.1,full,Tanh(),27.531652011871337
2,80,0.1,full,Sigmoid(),27.199283905029297
2,90,0.001,full,ReLU(),294729.3223358154
2,90,0.001,full,Tanh(),620.6148205566407
2,90,0.001,full,Sigmoid(),684.9035827636719
2,90,0.01,full,ReLU(),758664.7050726318
2,90,0.01,full,Tanh(),26.89453454017639
2,90,0.01,full,Sigmoid(),217.34199462890626
2,90,0.1,full,ReLU(),764.6324426269531
2,90,0.1,full,Tanh(),17.252251434326173
2,90,0.1,full,Sigmoid(),25.154407930374145
2,100,0.001,full,ReLU(),365416.1096777344
2,100,0.001,full,Tanh(),601.8525903320312
2,100,0.001,full,Sigmoid(),675.3056060791016
2,100,0.01,full,ReLU(),731523.7791534424
2,100,0.01,full,Tanh(),15.969914903640747
2,100,0.01,full,Sigmoid(),189.43664299011232
2,100,0.1,full,ReLU(),758.3963305664063
2,100,0.1,full,Tanh(),12.189082088470458
2,100,0.1,full,Sigmoid(),19.26803234100342
2,110,0.001,full,ReLU(),362882.41138183593
2,110,0.001,full,Tanh(),595.0986340332031
2,110,0.001,full,Sigmoid(),668.7951904296875
2,110,0.01,full,ReLU(),888756.9259002686
2,110,0.01,full,Tanh(),12.115873937606812
2,110,0.01,full,Sigmoid(),153.86084808349608
2,110,0.1,full,ReLU(),756.5819610595703
2,110,0.1,full,Tanh(),18.295030927658082
2,110,0.1,full,Sigmoid(),15.672008490562439
2,120,0.001,full,ReLU(),374582.5554174805
2,120,0.001,full,Tanh(),575.7829650878906
2,120,0.001,full,Sigmoid(),666.3466253662109
2,120,0.01,full,ReLU(),1058608.8613146972
2,120,0.01,full,Tanh(),13.051264243125916
2,120,0.01,full,Sigmoid(),117.4319947052002
2,120,0.1,full,ReLU(),765.751015625
2,120,0.1,full,Tanh(),27.323306694030762
2,120,0.1,full,Sigmoid(),16.63647472381592
2,130,0.001,full,ReLU(),365416.68823272706
2,130,0.001,full,Tanh(),563.6073544311523
2,130,0.001,full,Sigmoid(),651.3406536865234
2,130,0.01,full,ReLU(),1088539.4787888336
2,130,0.01,full,Tanh(),16.77713207244873
2,130,0.01,full,Sigmoid(),99.92278602600098
2,130,0.1,full,ReLU(),760.2722131347656
2,130,0.1,full,Tanh(),28.46127944946289
2,130,0.1,full,Sigmoid(),19.141786732673644
2,140,0.001,full,ReLU(),461573.4061981201
2,140,0.001,full,Tanh(),544.5134024047852
2,140,0.001,full,Sigmoid(),647.3749401855468
2,140,0.01,full,ReLU(),1221812.0658322144
2,140,0.01,full,Tanh(),22.053796253204347
2,140,0.01,full,Sigmoid(),80.61846839904786
2,140,0.1,full,ReLU(),763.8924835205078
2,140,0.1,full,Tanh(),21.83780047416687
2,140,0.1,full,Sigmoid(),23.765439720153807
2,150,0.001,full,ReLU(),489774.2863998413
2,150,0.001,full,Tanh(),533.8509970092773
2,150,0.001,full,Sigmoid(),640.3240869140625
2,150,0.01,full,ReLU(),1488986.6920898438
2,150,0.01,full,Tanh(),26.99094608306885
2,150,0.01,full,Sigmoid(),63.92646022796631
2,150,0.1,full,ReLU(),762.9384802246094
2,150,0.1,full,Tanh(),14.443838205337524
2,150,0.1,full,Sigmoid(),26.464036931991576
2,160,0.001,full,ReLU(),356465.960713501
2,160,0.001,full,Tanh(),520.3640655517578
2,160,0.001,full,Sigmoid(),633.5071307373047
2,160,0.01,full,ReLU(),1769346.55453125
2,160,0.01,full,Tanh(),31.4381982421875
2,160,0.01,full,Sigmoid(),47.49571632385254
2,160,0.1,full,ReLU(),760.4643005371094
2,160,0.1,full,Tanh(),12.59526409626007
2,160,0.1,full,Sigmoid(),25.42240689277649
2,170,0.001,full,ReLU(),364579.29826171877
2,170,0.001,full,Tanh(),506.6764633178711
2,170,0.001,full,Sigmoid(),626.9862744140624
2,170,0.01,full,ReLU(),1948946.4121289062
2,170,0.01,full,Tanh(),34.304774112701416
2,170,0.01,full,Sigmoid(),37.55749732017517
2,170,0.1,full,ReLU(),759.9092919921875
2,170,0.1,full,Tanh(),17.119340105056764
2,170,0.1,full,Sigmoid(),21.61142463684082
2,180,0.001,full,ReLU(),320465.81356506346
2,180,0.001,full,Tanh(),492.2768273925781
2,180,0.001,full,Sigmoid(),620.6005255126953
2,180,0.01,full,ReLU(),2057899.3508166503
2,180,0.01,full,Tanh(),35.53775358200073
2,180,0.01,full,Sigmoid(),28.890359392166136
2,180,0.1,full,ReLU(),764.6195501708985
2,180,0.1,full,Tanh(),24.09073621749878
2,180,0.1,full,Sigmoid(),17.24737755775452
2,190,0.001,full,ReLU(),343914.77948059083
2,190,0.001,full,Tanh(),483.7215579223633
2,190,0.001,full,Sigmoid(),608.0290692138672
2,190,0.01,full,ReLU(),2316356.589394531
2,190,0.01,full,Tanh(),35.335606746673584
2,190,0.01,full,Sigmoid(),22.895496497154237
2,190,0.1,full,ReLU(),762.0901794433594
2,190,0.1,full,Tanh(),29.26535318374634
2,190,0.1,full,Sigmoid(),15.116989412307738
2,200,0.001,full,ReLU(),576432.5123059083
2,200,0.001,full,Tanh(),469.3681509399414
2,200,0.001,full,Sigmoid(),606.0248120117187
2,200,0.01,full,ReLU(),2266918.1491540526
2,200,0.01,full,Tanh(),33.63475589752197
2,200,0.01,full,Sigmoid(),16.355427269935607
2,200,0.1,full,ReLU(),756.9015356445312
2,200,0.1,full,Tanh(),29.588588886260986
2,200,0.1,full,Sigmoid(),14.706174731254578
3,10,0.001,full,ReLU(),162991.8463221359
3,10,0.001,full,Tanh(),730.6410418701172
3,10,0.001,full,Sigmoid(),746.7772924804688
3,10,0.01,full,ReLU(),7829.8523343276975
3,10,0.01,full,Tanh(),553.0415466308593
3,10,0.01,full,Sigmoid(),625.3528857421875
3,10,0.1,full,ReLU(),618.6679461860657
3,10,0.1,full,Tanh(),12.21625114440918
3,10,0.1,full,Sigmoid(),14.077612071037292
3,20,0.001,full,ReLU(),61418.648907489776
3,20,0.001,full,Tanh(),692.7764233398437
3,20,0.001,full,Sigmoid(),732.6368572998047
3,20,0.01,full,ReLU(),14290.34496032715
3,20,0.01,full,Tanh(),400.8426525878906
3,20,0.01,full,Sigmoid(),502.2385534667969
3,20,0.1,full,ReLU(),270.5126141691208
3,20,0.1,full,Tanh(),32.35173038482666
3,20,0.1,full,Sigmoid(),27.286974687576294
3,30,0.001,full,ReLU(),39468.96228153229
3,30,0.001,full,Tanh(),648.4547760009766
3,30,0.001,full,Sigmoid(),719.6948571777343
3,30,0.01,full,ReLU(),16188.913063735961
3,30,0.01,full,Tanh(),284.63423873901365
3,30,0.01,full,Sigmoid(),398.12168212890623
3,30,0.1,full,ReLU(),1047.1824497032167
3,30,0.1,full,Tanh(),12.998736672401428
3,30,0.1,full,Sigmoid(),14.501448693275451
3,40,0.001,full,ReLU(),49257.570623016356
3,40,0.001,full,Tanh(),606.2525079345703
3,40,0.001,full,Sigmoid(),704.1584155273438
3,40,0.01,full,ReLU(),16559.941007881163
3,40,0.01,full,Tanh(),195.69641830444337
3,40,0.01,full,Sigmoid(),303.1706524658203
3,40,0.1,full,ReLU(),1036.8312456321717
3,40,0.1,full,Tanh(),30.10975051879883
3,40,0.1,full,Sigmoid(),18.18461404800415
3,50,0.001,full,ReLU(),40952.490257034304
3,50,0.001,full,Tanh(),566.0489984130859
3,50,0.001,full,Sigmoid(),686.0890191650391
3,50,0.01,full,ReLU(),16780.2439535141
3,50,0.01,full,Tanh(),124.57058937072753
3,50,0.01,full,Sigmoid(),234.20510513305663
3,50,0.1,full,ReLU(),104.84054967880249
3,50,0.1,full,Tanh(),20.207670488357543
3,50,0.1,full,Sigmoid(),22.485772790908815
3,60,0.001,full,ReLU(),52976.56935447693
3,60,0.001,full,Tanh(),530.7188864135742
3,60,0.001,full,Sigmoid(),667.8636968994141
3,60,0.01,full,ReLU(),19040.08591812134
3,60,0.01,full,Tanh(),76.79858772277832
3,60,0.01,full,Sigmoid(),178.89717193603516
3,60,0.1,full,ReLU(),81.30132351398468
3,60,0.1,full,Tanh(),13.00978338241577
3,60,0.1,full,Sigmoid(),21.93278567314148
3,70,0.001,full,ReLU(),45745.64056488037
3,70,0.001,full,Tanh(),499.42780700683596
3,70,0.001,full,Sigmoid(),650.2282275390625
3,70,0.01,full,ReLU(),15851.306740264892
3,70,0.01,full,Tanh(),43.470837917327884
3,70,0.01,full,Sigmoid(),130.47619773864747
3,70,0.1,full,ReLU(),88.99957513809204
3,70,0.1,full,Tanh(),23.60870087623596
3,70,0.1,full,Sigmoid(),19.764726948738097
3,80,0.001,full,ReLU(),59615.97517242432
3,80,0.001,full,Tanh(),472.34323455810545
3,80,0.001,full,Sigmoid(),634.0240447998046
3,80,0.01,full,ReLU(),28423.75823425293
3,80,0.01,full,Tanh(),23.131213073730468
3,80,0.01,full,Sigmoid(),89.84821716308593
3,80,0.1,full,ReLU(),68.66618563175201
3,80,0.1,full,Tanh(),26.80070812225342
3,80,0.1,full,Sigmoid(),17.103058180809022
3,90,0.001,full,ReLU(),48898.413489990235
3,90,0.001,full,Tanh(),445.5462649536133
