config,accuracy,r2_score
"(1, 70, 0.001, 64, Sigmoid())",0.0,0.35552122195561725
"(1, 70, 0.001, 128, ReLU())",0.0,0.38415084944831
"(1, 70, 0.001, 128, Tanh())",0.0,0.4626479645570119
"(1, 70, 0.001, 128, Sigmoid())",0.0,0.25034040212631226
"(1, 70, 0.01, 32, ReLU())",0.02727777917041547,0.6018309891223907
"(1, 70, 0.01, 32, Tanh())",0.0,0.6254854069815742
"(1, 70, 0.01, 32, Sigmoid())",0.0,0.5479684306515588
"(1, 70, 0.01, 64, ReLU())",0.013666667154110555,0.6163695421483781
"(1, 70, 0.01, 64, Tanh())",0.0,0.6215479042794969
"(1, 70, 0.01, 64, Sigmoid())",0.0,0.5596172942055596
"(1, 70, 0.01, 128, ReLU())",0.008833333739959117,0.587119847536087
"(1, 70, 0.01, 128, Tanh())",0.0,0.5596307019392649
"(1, 70, 0.01, 128, Sigmoid())",0.0,0.5191180672910478
"(1, 70, 0.1, 32, ReLU())",0.2198888965132129,0.3128279348214467
"(1, 70, 0.1, 32, Tanh())",0.023111112279972684,0.4492288629213969
"(1, 70, 0.1, 32, Sigmoid())",0.0012777778255339298,0.6014962593714396
"(1, 70, 0.1, 64, ReLU())",0.1702777879804166,0.3995249304506514
"(1, 70, 0.1, 64, Tanh())",0.00816666702222493,0.5887630548742082
"(1, 70, 0.1, 64, Sigmoid())",0.0005555555690079927,0.5970438222090403
"(1, 70, 0.1, 128, ReLU())",0.14472222999514392,0.1715529527929094
"(1, 70, 0.1, 128, Tanh())",0.00027777778450399637,0.529662205113305
"(1, 70, 0.1, 128, Sigmoid())",0.0,0.48830197585953605
"(1, 80, 0.001, 32, ReLU())",0.0005000000237487257,0.5550740195645226
"(1, 80, 0.001, 32, Tanh())",0.0,0.5432125296857622
"(1, 80, 0.001, 32, Sigmoid())",0.0,0.45411157608032227
"(1, 80, 0.001, 64, ReLU())",0.0,0.5254599319563972
"(1, 80, 0.001, 64, Tanh())",0.0,0.5193025436666276
"(1, 80, 0.001, 64, Sigmoid())",0.0,0.371089153819614
"(1, 80, 0.001, 128, ReLU())",0.0,0.42893451783392167
"(1, 80, 0.001, 128, Tanh())",0.0,0.4580361247062683
"(1, 80, 0.001, 128, Sigmoid())",0.0,0.2545112570126851
"(1, 80, 0.01, 32, ReLU())",0.021444445540611114,0.6129771239227719
"(1, 80, 0.01, 32, Tanh())",0.0,0.6228938102722168
"(1, 80, 0.01, 32, Sigmoid())",0.0,0.5670844117800394
"(1, 80, 0.01, 64, ReLU())",0.013444445218839165,0.5764771832360162
"(1, 80, 0.01, 64, Tanh())",0.0,0.5898817744519975
"(1, 80, 0.01, 64, Sigmoid())",0.0,0.5463144315613641
"(1, 80, 0.01, 128, ReLU())",0.013611112080980092,0.5678330130047269
"(1, 80, 0.01, 128, Tanh())",0.0,0.5752377510070801
"(1, 80, 0.01, 128, Sigmoid())",0.0,0.5193309187889099
"(1, 80, 0.1, 32, ReLU())",0.20527778912542594,-0.6208951009644402
"(1, 80, 0.1, 32, Tanh())",0.028500000881548557,0.43283935056792366
"(1, 80, 0.1, 32, Sigmoid())",0.0005000000302162436,0.6052272982067533
"(1, 80, 0.1, 64, ReLU())",0.18344445110091734,0.44161318408118355
"(1, 80, 0.1, 64, Tanh())",0.0116111117725571,0.5536375873618655
"(1, 80, 0.1, 64, Sigmoid())",0.0003888888944250842,0.5603851079940796
"(1, 80, 0.1, 128, ReLU())",0.14077778577080202,0.10737352569897969
"(1, 80, 0.1, 128, Tanh())",0.0008333333535119891,0.5469266043768989
"(1, 80, 0.1, 128, Sigmoid())",0.0,0.4595099455780453
"(1, 90, 0.001, 32, ReLU())",0.00016666667458290854,0.5610777967505984
"(1, 90, 0.001, 32, Tanh())",0.0,0.5584950115945604
"(1, 90, 0.001, 32, Sigmoid())",0.0,0.4872741831673516
"(1, 90, 0.001, 64, ReLU())",0.0002222222327772114,0.5182401041189829
"(1, 90, 0.001, 64, Tanh())",0.0,0.533395528793335
"(1, 90, 0.001, 64, Sigmoid())",0.0,0.3681467804643843
"(1, 90, 0.001, 128, ReLU())",0.0,0.43987003299925065
"(1, 90, 0.001, 128, Tanh())",0.0,0.4924158818191952
"(1, 90, 0.001, 128, Sigmoid())",0.0,0.2817352381017473
"(1, 90, 0.01, 32, ReLU())",0.028666668105870485,0.5625207755300734
"(1, 90, 0.01, 32, Tanh())",0.0,0.6314210494359335
"(1, 90, 0.01, 32, Sigmoid())",0.0,0.5617603725857205
"(1, 90, 0.01, 64, ReLU())",0.011888889518255988,0.5968391531043582
"(1, 90, 0.01, 64, Tanh())",0.0,0.6116352147526212
"(1, 90, 0.01, 64, Sigmoid())",0.0,0.561036679479811
"(1, 90, 0.01, 128, ReLU())",0.010111111500817869,0.5823073585828146
"(1, 90, 0.01, 128, Tanh())",0.0,0.5716224643919203
"(1, 90, 0.01, 128, Sigmoid())",0.0,0.5195670028527578
"(1, 90, 0.1, 32, ReLU())",0.281500016597824,0.45193788409233093
"(1, 90, 0.1, 32, Tanh())",0.02966666842500369,0.41519226630528766
"(1, 90, 0.1, 32, Sigmoid())",0.0076666670437488295,0.5874548554420471
"(1, 90, 0.1, 64, ReLU())",0.16850001032515946,0.4288857645458645
"(1, 90, 0.1, 64, Tanh())",0.009444444931836592,0.5268453591399722
"(1, 90, 0.1, 64, Sigmoid())",0.00016666667458290854,0.5805721481641134
"(1, 90, 0.1, 128, ReLU())",0.11944444925110373,0.10050257047017415
"(1, 90, 0.1, 128, Tanh())",0.0019444445562031534,0.5185778472158644
"(1, 90, 0.1, 128, Sigmoid())",0.0,0.40799426039059955
"(1, 100, 0.001, 32, ReLU())",0.00016666667458290854,0.5856215324666765
"(1, 100, 0.001, 32, Tanh())",0.0,0.5295286907090081
"(1, 100, 0.001, 32, Sigmoid())",0.0,0.47416001558303833
"(1, 100, 0.001, 64, ReLU())",0.0,0.5359870228502486
"(1, 100, 0.001, 64, Tanh())",0.0,0.5301244722472297
"(1, 100, 0.001, 64, Sigmoid())",0.0,0.3739415142271254
"(1, 100, 0.001, 128, ReLU())",0.0,0.4437720047103034
"(1, 100, 0.001, 128, Tanh())",0.0,0.4800693525208367
"(1, 100, 0.001, 128, Sigmoid())",0.0,0.2695394092135959
"(1, 100, 0.01, 32, ReLU())",0.02616666776723125,0.6003543999460008
"(1, 100, 0.01, 32, Tanh())",0.0,0.6229933864540524
"(1, 100, 0.01, 32, Sigmoid())",0.0,0.5759204626083374
"(1, 100, 0.01, 64, ReLU())",0.016888889354757138,0.6335514121585422
"(1, 100, 0.01, 64, Tanh())",0.0,0.6099886231952243
"(1, 100, 0.01, 64, Sigmoid())",0.0,0.5573640995555453
"(1, 100, 0.01, 128, ReLU())",0.009388889334837182,0.605058878660202
"(1, 100, 0.01, 128, Tanh())",0.0,0.5804155137803819
"(1, 100, 0.01, 128, Sigmoid())",0.0,0.5337445537249247
"(1, 100, 0.1, 32, ReLU())",0.3397222368900354,0.44694124658902484
"(1, 100, 0.1, 32, Tanh())",0.014555556596153311,0.3602559831407335
"(1, 100, 0.1, 32, Sigmoid())",0.004388889065012336,0.5911189052793715
"(1, 100, 0.1, 64, ReLU())",0.19255556617604774,0.42377742793824935
"(1, 100, 0.1, 64, Tanh())",0.0035000001209684545,0.4898122979534997
"(1, 100, 0.1, 64, Sigmoid())",5.555555819430285e-05,0.5568883650832706
"(1, 100, 0.1, 128, ReLU())",0.17566667520441115,0.07801234722137451
"(1, 100, 0.1, 128, Tanh())",0.0013888889031174283,0.5030970275402069
"(1, 100, 0.1, 128, Sigmoid())",0.0,0.4711831774976518
"(2, 10, 0.001, 32, ReLU())",0.0,0.40079529417885673
"(2, 10, 0.001, 32, Tanh())",0.0,0.44598859548568726
"(2, 10, 0.001, 32, Sigmoid())",0.0,0.25344889362653095
"(2, 10, 0.001, 64, ReLU())",0.0,0.24856670366393196
"(2, 10, 0.001, 64, Tanh())",0.0,0.3498973018593258
"(2, 10, 0.001, 64, Sigmoid())",0.0,0.16038990020751953
"(2, 10, 0.001, 128, ReLU())",0.0,0.18844113416141933
"(2, 10, 0.001, 128, Tanh())",0.0,0.2103686531384786
"(2, 10, 0.001, 128, Sigmoid())",0.0,0.13287575708495247
"(2, 10, 0.01, 32, ReLU())",0.002944444590765569,0.6038712958494822
"(2, 10, 0.01, 32, Tanh())",0.0,0.6231609185536703
"(2, 10, 0.01, 32, Sigmoid())",0.0,0.553470340039995
"(2, 10, 0.01, 64, ReLU())",0.0036666668278889526,0.6016500824027591
"(2, 10, 0.01, 64, Tanh())",0.0,0.5690751406881545
"(2, 10, 0.01, 64, Sigmoid())",0.0,0.514094677236345
"(2, 10, 0.01, 128, ReLU())",0.0009444444828356305,0.5528349644607968
"(2, 10, 0.01, 128, Tanh())",0.0,0.5292724900775485
"(2, 10, 0.01, 128, Sigmoid())",0.0,0.4285084472762214
"(2, 10, 0.1, 32, ReLU())",0.1315555620369398,0.565095990896225
"(2, 10, 0.1, 32, Tanh())",5.555555819430285e-05,0.5849422183301713
"(2, 10, 0.1, 32, Sigmoid())",0.001444444467779249,0.6373995708094703
"(2, 10, 0.1, 64, ReLU())",0.05033333507081908,0.5727579560544755
"(2, 10, 0.1, 64, Tanh())",0.0,0.600900971227222
"(2, 10, 0.1, 64, Sigmoid())",0.0,0.6116322080294291
"(2, 10, 0.1, 128, ReLU())",0.04244444593657843,0.5938605699274275
"(2, 10, 0.1, 128, Tanh())",0.0,0.5602781143453386
"(2, 10, 0.1, 128, Sigmoid())",0.0,0.540927357143826
"(2, 20, 0.001, 32, ReLU())",0.0,0.4644739263587528
"(2, 20, 0.001, 32, Tanh())",0.0,0.5083157089021471
"(2, 20, 0.001, 32, Sigmoid())",0.0,0.3239232036802504
"(2, 20, 0.001, 64, ReLU())",0.0,0.3513040973080529
"(2, 20, 0.001, 64, Tanh())",0.0,0.4217786126666599
"(2, 20, 0.001, 64, Sigmoid())",0.0,0.23965841200616625
"(2, 20, 0.001, 128, ReLU())",0.0,0.2600482602914174
"(2, 20, 0.001, 128, Tanh())",0.0,0.311110688580407
"(2, 20, 0.001, 128, Sigmoid())",0.0,0.1525819566514757
"(2, 20, 0.01, 32, ReLU())",0.008611111468376799,0.5681900878747305
"(2, 20, 0.01, 32, Tanh())",0.0,0.6160686810811361
"(2, 20, 0.01, 32, Sigmoid())",0.0,0.5494185752338834
"(2, 20, 0.01, 64, ReLU())",0.004055555838729358,0.6017188529173533
"(2, 20, 0.01, 64, Tanh())",0.0,0.5869904855887095
"(2, 20, 0.01, 64, Sigmoid())",0.0,0.5283681882752312
"(2, 20, 0.01, 128, ReLU())",0.0006666666918641163,0.5338759687211778
"(2, 20, 0.01, 128, Tanh())",0.0,0.5928519368171692
"(2, 20, 0.01, 128, Sigmoid())",0.0,0.4861161145899031
"(2, 20, 0.1, 32, ReLU())",0.1696111175050545,0.5223758286899991
"(2, 20, 0.1, 32, Tanh())",0.0005000000302162436,0.5057600140571594
"(2, 20, 0.1, 32, Sigmoid())",0.00044444445908690494,0.6366624997721778
"(2, 20, 0.1, 64, ReLU())",0.13277778489929107,0.5674866603480445
"(2, 20, 0.1, 64, Tanh())",0.0008333333470444712,0.5951231055789523
"(2, 20, 0.1, 64, Sigmoid())",0.0,0.638110359509786
