experiment,repetition,state,mse,mape,r2
7,3,BetaShapley,0.1976284086704254,0.8820843696594238,0.2099024653434753
7,3,DataBanzhaf,0.231577530503273,1.119457125663757,0.0741774439811706
7,3,DataOob,0.1981913894414901,1.01505446434021,0.2076517343521118
7,3,AME,0.2838135063648224,1.4983291625976562,-0.134656548500061
7,3,DVRL,0.4927693605422973,0.9594972729682922,-0.9700400829315186
7,3,KNNShapley,0.410794198513031,0.8324287533760071,-0.6423119306564331
7,3,LavaEvaluator,0.3847675621509552,1.459761619567871,-0.5382602214813232
7,4,LossVal (epochs = 5),0.2927470207214355,0.9106956124305724,-0.1703717708587646
7,4,LossVal (epochs = 30),0.2395924031734466,1.2329601049423218,0.0421348214149475
7,4,Random,0.28616464138031,1.5622738599777222,-0.1440560817718505
7,4,InfluenceSubsample,0.2966300845146179,1.047965168952942,-0.1858959197998047
7,4,LeaveOneOut,0.2170456498861313,1.5194350481033323,0.1322743892669677
7,4,DataShapley,0.2426864355802536,0.9714353084564208,0.0297651886940002
7,4,BetaShapley,0.2018850892782211,1.5206341743469238,0.1928846836090088
7,4,DataBanzhaf,0.3833841979503631,1.8569366931915283,-0.5327296257019043
7,4,DataOob,0.2341101020574569,1.9205138683319087,0.0640524625778198
7,4,AME,0.1877612471580505,1.1986676454544067,0.2493503093719482
7,4,DVRL,0.3078156113624573,1.0754646062850952,-0.230614423751831
7,4,KNNShapley,0.218043103814125,1.3992215394973757,0.1282866597175598
7,4,LavaEvaluator,0.361445665359497,1.5097190141677856,-0.4450217485427856
7,5,LossVal (epochs = 5),0.28267702460289,0.8356918096542358,-0.1301130056381225
7,5,LossVal (epochs = 30),0.2063340991735458,0.7824121117591858,0.1750980019569397
7,5,Random,0.2198519706726074,1.1421349048614502,0.1210549473762512
7,5,InfluenceSubsample,0.217509463429451,1.12010657787323,0.1304200291633606
7,5,LeaveOneOut,0.4667029678821563,1.3589322566986084,-0.8658292293548584
7,5,DataShapley,0.2056688964366912,0.9138027429580688,0.1777573823928833
7,5,BetaShapley,0.2398912757635116,1.3318668603897097,0.0409399271011352
7,5,DataBanzhaf,0.3755210041999817,0.9969099164009094,-0.501293420791626
7,5,DataOob,0.3266489803791046,2.0374419689178467,-0.305908203125
7,5,AME,0.1986861377954483,1.2887235879898071,0.2056737542152404
7,5,DVRL,0.2377672642469406,1.644670844078064,0.0494315028190612
7,5,KNNShapley,0.2182988226413726,1.4136934280395508,0.1272643208503723
7,5,LavaEvaluator,0.2693381309509277,1.1087548732757568,-0.0767854452133178
7,6,LossVal (epochs = 5),0.2515395283699035,0.8678988814353943,-0.0056285858154296
7,6,LossVal (epochs = 30),0.4898510575294494,1.2708935737609863,-0.958372950553894
7,6,Random,0.2182148098945617,0.8408737182617188,0.1276001930236816
7,6,InfluenceSubsample,0.3293887674808502,0.9313302636146544,-0.3168615102767944
7,6,LeaveOneOut,0.2487209886312484,1.364266276359558,0.0056397318840026
7,6,DataShapley,0.2564047873020172,1.3448539972305298,-0.0250793695449829
7,6,BetaShapley,0.1829479783773422,1.2361865043640137,0.2685932517051697
7,6,DataBanzhaf,0.179323598742485,1.14784836769104,0.2830831408500671
7,6,DataOob,0.2175467163324356,0.9102448225021362,0.1302711367607116
7,6,AME,0.2072223126888275,1.2014846801757812,0.1715470552444458
7,6,DVRL,0.2763991057872772,1.0572980642318726,-0.1050144433975219
7,6,KNNShapley,0.3096498847007751,2.094746351242065,-0.2379477024078369
7,6,LavaEvaluator,0.2340703457593917,1.8317722082138064,0.0642114281654357
7,7,LossVal (epochs = 5),0.4719762206077575,1.22545325756073,-0.8869112730026245
7,7,LossVal (epochs = 30),0.2159014493227005,1.622718095779419,0.1368486881256103
7,7,Random,0.2591837346553802,1.8388866186141968,-0.0361891984939575
7,7,InfluenceSubsample,0.2550642490386963,1.539372801780701,-0.0197200775146484
7,7,LeaveOneOut,0.2171450704336166,1.578096628189087,0.1318768262863159
7,7,DataShapley,0.2344547510147094,1.6742151975631714,0.0626745820045471
7,7,BetaShapley,0.2712514102458954,1.5989184379577637,-0.0844346284866333
7,7,DataBanzhaf,0.2718915343284607,1.2681572437286377,-0.0869936943054199
7,7,DataOob,0.3993396759033203,1.428141951560974,-0.5965179204940796
7,7,AME,0.3941424190998077,1.202353596687317,-0.575739860534668
7,7,DVRL,0.2202615141868591,1.1236605644226074,0.119417667388916
7,7,KNNShapley,0.2107779383659362,1.0341309309005735,0.1573320031166076
7,7,LavaEvaluator,0.2478624731302261,1.2964178323745728,0.009071946144104
7,8,LossVal (epochs = 5),0.4793522357940674,1.3198795318603516,-0.9163997173309326
7,8,LossVal (epochs = 30),0.3065560460090637,1.6226658821105957,-0.2255787849426269
7,8,Random,0.2867318093776703,1.3782901763916016,-0.146323561668396
7,8,InfluenceSubsample,0.2236250340938568,1.685893416404724,0.1059706807136535
7,8,LeaveOneOut,0.3087287843227386,0.9582778811454772,-0.2342650890350341
7,8,DataShapley,0.2164080142974853,1.261901617050171,0.1348235607147216
7,8,BetaShapley,0.3280034065246582,0.9235259890556335,-0.3113230466842651
7,8,DataBanzhaf,0.2421813756227493,1.6284104585647583,0.0317843556404113
7,8,DataOob,0.1886151283979416,1.3858516216278076,0.2459365725517273
7,8,AME,0.245906800031662,1.00951087474823,0.016890525817871
7,8,DVRL,0.3287705481052398,1.4949045181274414,-0.3143899440765381
7,8,KNNShapley,0.3276193737983703,1.0197583436965942,-0.3097877502441406
7,8,LavaEvaluator,0.3666252195835113,0.977420687675476,-0.4657291173934936
7,9,LossVal (epochs = 5),0.1962548792362213,1.342858076095581,0.2153936624526977
7,9,LossVal (epochs = 30),0.1722884774208068,1.0163791179656982,0.3112087845802307
7,9,Random,0.2968229949474334,1.1585469245910645,-0.1866670846939087
7,9,InfluenceSubsample,0.2438295930624008,1.2882492542266846,0.0251949429512023
7,9,LeaveOneOut,0.3864557147026062,1.1472090482711792,-0.5450092554092407
7,9,DataShapley,0.2145517468452453,1.1680030822753906,0.1422446966171264
7,9,BetaShapley,0.2901636362075805,1.0653352737426758,-0.160043716430664
7,9,DataBanzhaf,0.2838473320007324,1.389016032218933,-0.1347917318344116
7,9,DataOob,0.2332235425710678,1.55224609375,0.0675968527793884
7,9,AME,0.2462466359138488,1.3614072799682615,0.0155318975448608
7,9,DVRL,0.2324717342853546,0.8460034728050232,0.0706024765968322
7,9,KNNShapley,0.3323929011821747,1.3013302087783811,-0.3288718461990356
7,9,LavaEvaluator,0.3164555430412292,1.0385985374450684,-0.2651559114456177
7,10,LossVal (epochs = 5),0.2426600307226181,1.321356177330017,0.0298707485198974
7,10,LossVal (epochs = 30),0.1987264901399612,1.368062973022461,0.2055124044418335
7,10,Random,0.2759517133235931,1.2869547605514526,-0.103225827217102
7,10,InfluenceSubsample,0.2257550805807113,0.9544556736946106,0.0974549651145935
7,10,LeaveOneOut,0.3391679525375366,0.9472984671592712,-0.3559577465057373
7,10,DataShapley,0.2505968511104584,1.4530445337295532,-0.0018597841262817
7,10,BetaShapley,0.2368631809949875,1.136313796043396,0.0530459284782409
7,10,DataBanzhaf,0.2940188348293304,1.0284433364868164,-0.1754562854766845
7,10,DataOob,0.233480766415596,1.0994054079055786,0.0665684938430786
7,10,AME,0.1498837918043136,0.8839067816734314,0.4007803797721863
7,10,DVRL,0.2033548355102539,0.9698460698127748,0.1870087385177612
7,10,KNNShapley,0.2155821472406387,1.0021109580993652,0.1381253004074096
7,10,LavaEvaluator,0.3082087337970733,1.1188342571258545,-0.2321860790252685
8,1,base,0.2396738082170486,0.7743862867355347,0.296341598033905
8,2,base,0.2513861358165741,0.8838258981704712,0.2619553804397583
8,3,base,0.3059533834457397,0.9717438817024232,0.1017513275146484
8,4,base,0.2175433039665222,0.7574253678321838,0.3613145351409912
8,5,base,0.3541062176227569,1.0471720695495603,-0.0396206378936767
8,6,base,0.2049450427293777,0.9451265335083008,0.3983017802238464
8,7,base,0.2847849428653717,0.8648855686187744,0.1638997197151184
8,8,base,0.216116115450859,0.6978312134742737,0.3655046224594116
8,9,base,0.338135302066803,0.9178528785705566,0.0072684288024902
8,10,base,0.270858496427536,1.0137983560562134,0.2047864198684692
8,1,LossVal (epochs = 5),0.3021575212478637,0.9719032049179076,0.1128956079483032
8,1,LossVal (epochs = 30),0.3191618323326111,0.7940007448196411,0.0629726648330688
8,1,Random,0.2180778682231903,0.6544652581214905,0.3597450852394104
8,1,InfluenceSubsample,0.3682873547077179,1.2711656093597412,-0.0812549591064453
8,1,LeaveOneOut,0.2093706578016281,0.8753209114074707,0.385308563709259
8,1,DataShapley,0.3122999370098114,0.8246241807937622,0.0831184387207031
8,1,BetaShapley,0.1875697672367096,0.6951400637626648,0.4493138194084167
8,1,DataBanzhaf,0.3253878951072693,0.8414727449417114,0.0446935892105102
8,1,DataOob,0.2811768054962158,0.8500694632530212,0.1744928956031799
8,1,AME,0.2543783485889435,0.9030344486236572,0.2531704902648926
8,1,DVRL,0.2549509108066559,0.9140402674674988,0.251489520072937
8,1,KNNShapley,0.2652558386325836,0.9636926054954528,0.2212352752685547
8,1,LavaEvaluator,0.2497445940971374,0.8392933011054993,0.2667747735977173
8,2,LossVal (epochs = 5),0.2420861572027206,0.9189006090164183,0.289259135723114
8,2,LossVal (epochs = 30),0.2642050981521606,0.7574905753135681,0.224320113658905
8,2,Random,0.2559225559234619,0.8524166345596313,0.2486368417739868
8,2,InfluenceSubsample,0.2910578548908233,1.0335403680801392,0.145483136177063
