Dataset,MSE,R2,mode
pumadyn32nh,0.5270249247550964,0.46410268545150757,normal
pumadyn32nh,0.6757160425186157,0.312908411026001,weighted
pumadyn32nh,0.5908385515213013,0.41906583309173584,normal
pumadyn32nh,0.5902334451675415,0.419660747051239,weighted
pumadyn32nh,0.5592726469039917,0.43101561069488525,normal
pumadyn32nh,0.6089125871658325,0.38051366806030273,weighted
pumadyn32nh,0.5421118140220642,0.46046900749206543,normal
pumadyn32nh,0.6268535256385803,0.37613075971603394,weighted
pumadyn32nh,0.5858215689659119,0.39965641498565674,normal
pumadyn32nh,0.6022558808326721,0.3828147053718567,weighted
pumadyn32nh,0.5681132674217224,0.4115772843360901,normal
pumadyn32nh,0.6666232347488403,0.30954569578170776,weighted
pumadyn32nh,0.5525990128517151,0.4499821066856384,normal
pumadyn32nh,0.6951477527618408,0.3080991506576538,weighted
pumadyn32nh,0.5654534697532654,0.4220845103263855,normal
pumadyn32nh,0.6135290265083313,0.37294942140579224,weighted
pumadyn32nh,0.5601843595504761,0.4175228476524353,normal
pumadyn32nh,0.7664585113525391,0.20303994417190552,weighted
pumadyn32nh,0.6076966524124146,0.38556820154190063,normal
pumadyn32nh,1.3907190561294556,-0.4061325788497925,weighted
wave_energy,0.026317298412322998,0.9733664989471436,normal
wave_energy,0.060485970228910446,0.9387872815132141,weighted
wave_energy,0.04487485811114311,0.9540570974349976,normal
wave_energy,0.030512843281030655,0.9687609672546387,weighted
wave_energy,0.041390202939510345,0.9566894769668579,normal
wave_energy,0.05912339687347412,0.9381335377693176,weighted
wave_energy,0.03806762769818306,0.961251437664032,normal
wave_energy,0.032096683979034424,0.967329204082489,weighted
wave_energy,0.02875877358019352,0.9706570506095886,normal
wave_energy,0.03259158879518509,0.9667463898658752,weighted
wave_energy,0.030223581939935684,0.969048261642456,normal
wave_energy,0.031738992780447006,0.9674963355064392,weighted
wave_energy,0.035533010959625244,0.965844988822937,normal
wave_energy,0.03565443307161331,0.9657282829284668,weighted
wave_energy,0.021756647154688835,0.978079617023468,normal
wave_energy,0.031315967440605164,0.9684483408927917,weighted
wave_energy,0.03206690400838852,0.9674088358879089,normal
wave_energy,0.02952302061021328,0.969994306564331,weighted
wave_energy,0.03496762737631798,0.9669192433357239,normal
wave_energy,0.030144019052386284,0.9714825749397278,weighted
wave_energy,0.03125787153840065,0.9677339196205139,normal
wave_energy,0.04065748676657677,0.9580311179161072,weighted
wave_energy,0.03450297936797142,0.9650610089302063,normal
wave_energy,0.05192360281944275,0.9474202394485474,weighted
wave_energy,0.026342593133449554,0.9744880199432373,normal
wave_energy,0.035835735499858856,0.9652942419052124,weighted
wave_energy,0.025672772899270058,0.9743843078613281,normal
wave_energy,0.028796009719371796,0.9712680578231812,weighted
wave_energy,0.041582830250263214,0.9597065448760986,normal
wave_energy,0.024379562586545944,0.9763763546943665,weighted
superconductivity,0.2236706167459488,0.7854866981506348,normal
superconductivity,0.37736132740974426,0.6380882263183594,weighted
superconductivity,0.23003490269184113,0.7716914415359497,normal
superconductivity,0.4615648686885834,0.5418990850448608,weighted
superconductivity,0.23772409558296204,0.766494631767273,normal
superconductivity,0.8404638767242432,0.17445123195648193,weighted
superconductivity,0.23921069502830505,0.7562687993049622,normal
superconductivity,0.34546226263046265,0.6480093002319336,weighted
superconductivity,0.295307457447052,0.7021416425704956,normal
superconductivity,0.5625876188278198,0.43255263566970825,weighted
superconductivity,0.24863126873970032,0.7499231100082397,normal
superconductivity,0.36813244223594666,0.6297271251678467,weighted
superconductivity,0.2505572438240051,0.7524148225784302,normal
superconductivity,0.3334138095378876,0.6705410480499268,weighted
superconductivity,0.2541152834892273,0.7440237402915955,normal
superconductivity,0.3490637242794037,0.648379921913147,weighted
